id,title,url,source_class,publisher,retrieved_at,scope,claim_supported,limitations
src.nintendo.switch2.ecodesign,Nintendo Switch 2 ecodesign information,https://www.nintendo.com/en-gb/Corporate/Consumer-Information/Eco-design/Product-Ecodesign-Information-Consoles-part-3--2835840.html,official_vendor_docs,Nintendo,2026-06-22,Nintendo Switch 2 hardware hierarchy,BEE-001 model code and power information,Ecodesign page not full repair manual
src.nintendo.switch.system-update,Nintendo Switch System Update Information,https://en-americas-support.nintendo.com/app/answers/detail/a_id/22525,official_vendor_docs,Nintendo,2026-06-22,Nintendo system software hierarchy,System update process and troubleshooting,Latest version changes
src.playstation.ps5.systemsoftware,PS5 system software update,https://www.playstation.com/en-us/support/hardware/ps5/system-software/,official_vendor_docs,Sony Interactive Entertainment,2026-06-22,PS5 system software hierarchy,Update methods for PS5 system software,Latest version changes
src.playstation.errorcodes,PS5 Error codes,https://www.playstation.com/en-us/support/error-codes/ps5/,official_vendor_docs,Sony Interactive Entertainment,2026-06-22,PlayStation error-code hierarchy,CE/NW/NP/WS/SU-style error code families,List changes over time
src.xbox.systemupdates,What's new: Xbox system updates,https://support.xbox.com/en-US/help/hardware-network/settings-updates/whats-new-xbox-one-system-updates,official_vendor_docs,Microsoft Xbox,2026-06-22,Xbox OS hierarchy,"Xbox OS versions, features, known issues",Latest version changes
src.xbox.errors,Xbox error code search guide,https://support.xbox.com/en-US/help/errors/error-code-search-guide,official_vendor_docs,Microsoft Xbox,2026-06-22,Xbox error-code hierarchy,Common error codes and solutions,Search-driven; not exhaustive
src.xbox.osu,Xbox Offline System Update,https://support.xbox.com/en-US/help/hardware-network/console/offline-system-update,official_vendor_docs,Microsoft Xbox,2026-06-22,Xbox update/repair hierarchy,Offline System Update workflow,Exact OSU compatibility must be scoped
src.mame.docs,MAME Documentation,https://docs.mamedev.org/,official_project_docs,MAMEdev,2026-06-22,Arcade/retro system hierarchy,"MAME emulates arcade machines, computers, consoles and documents systems",ROM/BIOS handling is metadata only
src.vscode.updates,Visual Studio Code Updates,https://code.visualstudio.com/updates,official_project_docs,Microsoft,2026-06-22,IDE versioning hierarchy,Release notes archive/current updates,Current version changes
src.ableton.live.release-notes,Ableton Live Release Notes,https://www.ableton.com/en/release-notes/live-12/,official_vendor_docs,Ableton,2026-06-22,DAW versioning hierarchy,Live 12 release notes and bugfix structure,Commercial software; downloads require license/account
src.steinberg.cubase.downloads,Cubase Downloads,https://o.steinberg.net/en/support/downloads/cubase_15.html,official_vendor_docs,Steinberg,2026-06-22,DAW downloads/versioning,Cubase 15 download/version history structure,Commercial software; old installers have restrictions
src.blender.release-notes,Blender Release Notes,https://developer.blender.org/docs/release_notes/,official_project_docs,Blender Foundation,2026-06-22,3D software versioning,Release note and LTS structure,Version cadence changes
